District,Block,Habitation,Block_Confidence,geocode_query_used,latitude,longitude,geocode_status,bhuvan_vid,bhuvan_population
Pithoragarh,Dharchula or Kanalichhina (unresolved),Heera Gumari R.F. (P-2),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Heera Gumari R.F. (P-2), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Khimling,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Khimling, Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Kuti,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Kuti, Pithoragarh, Uttarakhand, India",30.3078792,80.7599224,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Marcha (Marchha),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Marcha (Marchha), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Napalchu (Napalachchu),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Napalchu (Napalachchu), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Navi,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Navi, Pithoragarh, Uttarakhand, India",30.2049725,80.8373063,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Rongkong (Raung Kong),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Rongkong (Raung Kong), Pithoragarh, Uttarakhand, India",30.2033451,80.8316381,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Seepu (Sipu),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Seepu (Sipu), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Sela,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Sela, Pithoragarh, Uttarakhand, India",30.1472581,80.6056591,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Sobla (Sobala),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Sobla (Sobala), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Tidang,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Tidang, Pithoragarh, Uttarakhand, India",30.246,80.5487,matched via Bhuvan (district-verified),507000200897900.0,115.0
Pithoragarh,Dharchula or Kanalichhina (unresolved),Amali,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Amali, Pithoragarh, Uttarakhand, India",29.7039,80.3278,matched via Bhuvan (district-verified),507000300960200.0,89.0
Pithoragarh,Dharchula or Kanalichhina (unresolved),Beda (Bedara),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Beda (Bedara), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Uttarkashi,Bhatwari,Bagori,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Bagori, Bhatwari, Uttarkashi, Uttarakhand, India",30.7702443,78.4746317,matched,,
Uttarkashi,Bhatwari,Dharali,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Dharali, Bhatwari, Uttarkashi, Uttarakhand, India",31.0408468,78.7815312,matched,,
Uttarkashi,Bhatwari,Harshil,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Harshil, Bhatwari, Uttarkashi, Uttarakhand, India",31.0350501,78.7572289,matched,,
Uttarkashi,Bhatwari,Jadung,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Jadung, Uttarkashi, Uttarakhand, India",31.1648,79.0397,matched via Bhuvan (district-verified),501000400060400.0,0.0
Uttarkashi,Bhatwari,Jaspur,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Jaspur, Bhatwari, Uttarkashi, Uttarakhand, India",30.727214,78.4636435,matched,,
Uttarkashi,Bhatwari,Jhala,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Jhala, Bhatwari, Uttarkashi, Uttarakhand, India",31.0248573,78.7101354,matched,,
Uttarkashi,Bhatwari,Mukhawa,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Mukhawa, Uttarkashi, Uttarakhand, India",31.0542,78.7901,matched via Bhuvan (district-verified),501000400060600.0,1001.0
Uttarkashi,Bhatwari,Nelang,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Nelang, Bhatwari, Uttarkashi, Uttarakhand, India",31.121954,79.0304088,matched,,
Uttarkashi,Bhatwari,Purali,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Purali, Bhatwari, Uttarkashi, Uttarakhand, India",31.0299258,78.7099965,matched,,
Uttarkashi,Bhatwari,Sukki,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count),"Sukki, Uttarkashi, Uttarakhand, India",31.014,78.7108,matched via Bhuvan (district-verified),501000400061300.0,589.0
