village_id,village,district,block,state,is_core_sample,latitude,longitude,vv_before,vh_before,vv_after,vh_after,sar_before_image_count,sar_after_image_count
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-9.551189921382594,-15.680152052705596,-9.481537870715012,-15.732128960887003,59,58
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-8.373164732185186,-14.574843996915273,-8.327982601161606,-14.667568307485483,59,58
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-7.471005054447938,-13.875288050987105,-7.558656544731658,-14.023331857929294,59,58
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-9.592240208006546,-15.903834118896965,-9.574312489647172,-15.939428251623347,59,58
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-11.623341175037417,-17.727476949782172,-11.653395348266422,-17.90478067042448,59,58
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,-6.92384257204922,-13.596745694443735,-6.888243032537362,-13.745114321045353,29,32
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-8.56402643151465,-14.72990382203212,-8.694905746680663,-14.937555585243093,59,58
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-7.506909880143353,-14.050005545742856,-7.604254346524045,-14.219285788443226,59,58
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-5.482992074516087,-12.135974134568757,-5.45271065773251,-12.143576913047191,29,31
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-7.151787032408446,-13.812605344406624,-7.123567527506386,-13.976077362336115,29,32
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-7.48496887423195,-13.841906423525401,-7.324561707879639,-13.750217398768283,29,38
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-5.284492422857764,-12.66083435391771,-5.6868665395124385,-12.993953006400305,59,71
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-10.111809694544055,-15.823530152284658,-10.047908734718677,-15.822445537045466,59,71
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-6.8608121831965745,-13.836977415681424,-7.2799930002521664,-14.260738424509771,59,71
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-10.792436994899823,-16.927680472986417,-11.13110486154349,-17.37808101777735,59,71
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-8.517981569373932,-15.249839749103893,-8.501723684649788,-15.199808317673796,29,51
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-2.6381308241683272,-9.793404546224219,-3.0510532247593734,-10.160981215108565,29,39
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-10.313255044090276,-16.84627415804403,-10.473438060886444,-17.07872834812869,29,39
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-7.531258612164521,-14.3890915145471,-7.667107178952284,-14.578566419851288,29,39
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-10.283622074815202,-16.88506157049538,-10.538695496781887,-17.150338487826463,29,39
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-7.935282420854357,-14.820187348648775,-8.080105665988173,-15.004067773893974,29,39
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.8978659872679533,-8.239551707278086,-1.120505830433966,-8.350009729214843,29,39
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-7.44017797931351,-14.273380441972945,-7.665115887985995,-14.55093061117533,29,39
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-7.33344286800678,-14.109906374615656,-7.466029942795347,-14.259854161237831,29,39
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-8.865209866911984,-15.468567593245446,-9.083441133697344,-15.771841679616866,29,39
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.777252002518903,-8.302470740486598,-1.0569929623716323,-8.550629091786538,29,39
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-9.71840071265964,-16.371862950578283,-9.873387330077033,-16.562737035453228,29,39
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-4.058968686968677,-11.004747859376574,-4.248844884199349,-11.16343505467193,29,39
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-4.428030948583769,-11.613511018186603,-4.528966321868274,-11.704735390511717,29,39
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-3.1154063535981904,-10.547130197942568,-3.306504016381996,-10.726162763312082,29,39
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-4.402248080418408,-11.46397491338494,-4.569404743846668,-11.63125057682702,29,39
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-3.3629731288223934,-10.432517231600013,-3.3017178145063246,-10.50265437592379,29,39
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-4.209334567845689,-11.693802585602736,-4.186067933239451,-11.662905995828806,29,39
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-6.222978084079652,-13.406283469175989,-6.392505856714608,-13.477708741632783,29,39
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-3.292361965857841,-10.651558789105865,-3.489039320314515,-10.713718411197734,29,39
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-6.9631992995939465,-13.320790201618077,-7.215299059200021,-13.763737533245278,29,39
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-1.9893905812070143,-9.139385914857376,-2.11676830742379,-9.314541710001933,29,39
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-4.478424124098321,-11.497394627011223,-4.6732648184362064,-11.665120714270389,29,39
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-7.315958298338609,-14.072618236182594,-7.500070702647018,-14.380922818958508,29,39
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-2.735438659963295,-10.096196472524888,-2.850889732735041,-10.188388170195614,29,39
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-8.092468203384833,-14.761714099152416,-8.333924740194528,-15.103159291575684,29,39
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-8.693459234708001,-15.64767699598149,-8.932933144847816,-15.875964018191176,29,39
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-2.654461621183244,-9.531384274421246,-2.90029984253499,-9.887574555881248,29,39
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-7.66469938750453,-14.764816519876906,-8.009177964523207,-15.057863645057948,29,39
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-1.7406641950732975,-8.750814779927708,-1.9284345384801642,-8.959092046769527,29,39
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-11.738525239597342,-17.59231587757035,-12.020338077097284,-18.030188493378365,29,39
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-2.7416679912504396,-9.839960462434233,-2.8591046338027373,-10.023869741086362,29,39
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-1.9702434749810926,-9.05850116927035,-1.8961632001412212,-9.120157030517724,29,39
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-5.508730653201724,-12.410342427620707,-5.65377565554402,-12.56710525716165,29,39
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-8.795115388890368,-15.604193235729275,-8.963974535682707,-15.816624482201386,29,39
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-5.050081103644413,-12.276946927597201,-5.358773940064601,-12.526010473270839,29,39
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-1.8099041801096825,-9.266908122568278,-1.912097237140389,-9.348897916908166,29,39
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-1.5281421859990185,-8.659153939705941,-1.6413267590856764,-8.831819410954251,29,39
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-9.0668718945561,-15.701233070800694,-9.227586918691719,-15.808811518385044,29,39
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-9.0668718945561,-15.701233070800694,-9.227586918691719,-15.808811518385044,29,39
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-6.878041029822927,-13.827225139365819,-6.925298830268655,-13.81832357927813,29,39
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-7.427642258883839,-14.192806132760087,-7.423597658164656,-14.262794129162934,29,39
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-4.684892194759974,-11.620163404096154,-4.694430483222905,-11.717355763600153,29,39
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-6.255510554968802,-13.161253088526147,-6.226972881904261,-13.21669150488166,29,39
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-5.855910539777251,-12.715405050434414,-5.923353158818781,-12.895484603732525,29,39
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-7.673066026725044,-14.403786457110533,-7.735024881524468,-14.44683671894534,29,39
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-4.613433169330088,-11.76225482028462,-4.621338018879788,-11.697022123974033,29,39
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-8.078196641290338,-15.10954278391005,-8.200240710644417,-15.28581647827605,29,39
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-9.474518907253678,-15.940525855312716,-9.52187667607178,-15.929968382828914,29,39
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-7.428533571398826,-14.619720547557645,-7.705109657359068,-14.855382262401108,29,39
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-8.193200898498544,-14.953662402293952,-8.287647293309329,-15.016924364956036,29,39
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-10.109899682301583,-16.627601529517847,-10.182621943042713,-16.750670377603935,29,39
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-7.5238652485980735,-14.737742018306148,-7.528564929699073,-14.737726102962476,29,39
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-10.503379703920892,-17.232703313208006,-10.445101164758658,-17.18787584008413,29,39
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-7.212888316970632,-14.262043966171834,-7.351817997173809,-14.291088968696608,29,39
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-8.810265987713105,-15.700754452956861,-8.790180303348462,-15.637413140873951,29,39
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-9.296642065270172,-16.289356079289373,-9.374973171658567,-16.31951930795226,29,39
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-5.4008143529682275,-12.745852257713153,-5.5452324441159595,-12.887188446252187,29,39
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-6.831480470645132,-13.928574991376117,-6.782608001936506,-13.828867475483564,29,39
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-9.302236843350645,-15.784313057969948,-9.292237169416826,-15.80240974584263,29,55
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-6.8937186594340645,-13.958597859229798,-6.895804404420299,-14.040742751291056,29,39
105,Pape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0129617,93.4902587,-6.597999809943835,-13.788680490304817,-6.6195461080899465,-13.74845246519418,29,39
106,Pariang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0328165,93.4803814,-11.111680211214557,-17.736426575685613,-11.199851144277316,-17.895190922337985,29,39
107,Passik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0360017,93.4705453,-7.447491653743061,-14.49066210171932,-7.438951767557229,-14.35012367631844,29,39
108,Pilop,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.004125,93.5674707,-9.908942959230869,-16.79801154178681,-10.196491834004885,-16.97127463346065,29,39
109,Rashik,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0080613,93.5508476,-4.393981380242123,-11.537998448893115,-4.465518762492771,-11.543802714211722,29,39
110,Yarba-I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.96349,93.5654022,-9.577082281755029,-16.01878732677102,-9.574405771988905,-16.107777220180363,29,39
111,Bala,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9431025,93.1252507,-8.255275187074968,-15.134051912081794,-8.465704001155627,-15.329131230079037,29,39
112,Chaching,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9375989,93.2339474,-1.7949549147478059,-8.904009922548413,-1.7559390754835364,-9.008847746478548,29,39
113,Chulu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8792111,93.0545229,-8.69084874607192,-15.276967660521972,-8.866061515375181,-15.539823134414535,29,39
114,Gane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9643147,93.0391329,-9.025900701804858,-15.877390063627763,-9.19760917979325,-16.039368012105285,29,39
115,Haraiho,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9804475,93.1383943,-9.423387265251117,-16.150073457006265,-9.502188673974116,-16.23742516577543,29,39
116,Kapu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8879985,93.075251,-9.536428348826645,-16.014354324529656,-9.73838833157138,-16.278438574024168,29,39
117,Koropu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9899045,93.2023371,-5.041296333527378,-12.107275292973144,-5.216028865074897,-12.413448391376232,29,39
118,Machane,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9220981,93.0770012,-4.578586942341244,-11.295341173325191,-4.654581890027311,-11.490299806497553,29,39
119,Malo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9563848,93.1153543,-6.8328437776872555,-13.678275105486701,-6.947759166066256,-13.774713262261372,29,39
120,Milli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9506354,93.0574678,-6.228019819150566,-13.102213675728526,-6.365893798704899,-13.279216396241061,29,39
121,Namjo,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.942996,93.1849686,-7.920171925421842,-14.838118625066956,-7.93762268686529,-14.943175109141187,29,39
122,New Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9582217,93.1705235,-5.43087718512516,-12.268726597189163,-5.538187264484488,-12.295467547525751,29,39
123,Riya,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8776779,93.0467319,-7.682415636035568,-14.305412456954745,-7.872788094888092,-14.568418308589418,29,39
124,Sape,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9549291,93.1321419,-5.687289998186233,-12.51071285682467,-5.875336372148973,-12.68367682548212,29,39
125,Sarli,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9525582,93.163373,-4.922052258903927,-11.798175990251385,-4.85449588177231,-11.748170636030016,29,39
126,Sate,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9537376,93.1572444,-8.768331854614047,-15.262537145624604,-8.71491227588445,-15.275034129205347,29,39
127,Wabia,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-6.276090431127717,-13.238302866701614,-6.298585461344289,-13.265004332763812,29,39
128,Walu,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.9413919,93.1360402,-6.276090431127717,-13.238302866701614,-6.298585461344289,-13.265004332763812,29,39
129,Waru,Kurung Kumey,Sarli,Arunachal Pradesh,True,27.8852647,93.0448126,-5.621870818316012,-12.329209202636992,-5.745763382311948,-12.643604205791037,29,39
130,Chanli,Lower Dibang,Hunli-Desali,Arunachal Pradesh,True,28.2923493,96.0296242,-8.517537911881922,-14.998981696277124,-8.717677709204022,-15.161335752117889,59,71
131,Broxer,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.622647,91.9631993,-12.261011872211263,-18.42198939989555,-12.28677096297017,-18.308037155620944,58,69
132,Luguthang,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5948234,92.1857466,-11.089895837091396,-19.32606085494503,-11.017325873088613,-19.128578353598062,29,39
133,Mago,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6883395,92.2081099,-9.647296702274938,-16.55532026284048,-9.62416800868299,-16.34886799925803,29,39
134,Namazing,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.5506261,91.9768197,-15.017912781234301,-21.10846456027858,-15.003885180731347,-21.059775714566392,58,56
135,Rho,Tawang,Jang-Thingbu,Arunachal Pradesh,True,27.6141065,91.987227,-7.206193346559863,-13.21286945520115,-7.253490192011026,-13.275195236656844,55,55
136,Kitpi,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-10.620544659226153,-16.733169464344794,-10.647015450373209,-16.714840849920108,58,69
137,Kitpi II,Tawang,Kitpi,Arunachal Pradesh,True,27.5731189,91.90284,-10.620544659226153,-16.733169464344794,-10.647015450373209,-16.714840849920108,58,69
138,Famla,Tawang,Tawang,Arunachal Pradesh,True,27.5612427,91.8523298,-5.1765217457366655,-11.836404735474321,-5.534372197949033,-12.048276188197473,58,69
139,Gyangong Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.6003059,91.8525209,-7.51526842145512,-14.00642011802357,-7.93767464332739,-14.275551209838902,58,69
140,Jangda,Tawang,Tawang,Arunachal Pradesh,True,27.5942319,91.9742379,-5.083188781490391,-11.356006799658363,-5.112045171869312,-11.381515456202932,58,69
141,Mandrelling,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-6.780185927049311,-14.009168588582263,-6.907968246506034,-13.965510160120797,58,69
142,Sakpret,Tawang,Tawang,Arunachal Pradesh,True,27.57568,91.79901,-10.469217441776063,-16.537295310353354,-10.649439425895006,-16.712289642303467,58,69
143,Shyro,Tawang,Tawang,Arunachal Pradesh,True,27.5744459,91.9464757,-5.982253815180955,-12.515473186163595,-6.304824310152565,-12.660624223134231,58,69
144,Singsore Ani Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5952914,91.8697249,-6.780185927049311,-14.009168588582263,-6.907968246506034,-13.965510160120797,58,69
145,Tawang Gompa,Tawang,Tawang,Arunachal Pradesh,True,27.5866091,91.8573902,-10.146160216654502,-16.559160175917018,-10.365957302705342,-16.73935664257802,58,69
146,Thongleng,Tawang,Tawang,Arunachal Pradesh,True,27.57294,91.79215,-2.909119196119397,-9.4455236855273,-3.491122708561571,-9.84179818425779,58,69
147,Brokenthang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7352592,91.724121,-10.50881144096015,-16.24865535357094,-10.626770947908728,-16.328250007873866,58,69
148,Gorsam,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6973252,91.7142454,-4.174381426107752,-10.741083802096446,-5.140211169799027,-11.580455991416837,58,69
149,Kharman,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.691851,91.7463062,-6.533010789889796,-13.611292266766078,-7.147074058518939,-13.987689237484364,58,69
150,Lumpo,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7204821,91.7144005,-4.043072576887594,-10.194611283299386,-4.691377773880799,-10.675023304632907,58,69
151,Maling,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6350823,92.0693622,-8.638723025795738,-14.935489264065223,-8.746885449188696,-14.8804607097526,29,39
152,Muktur,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.5800562,91.6627629,-5.3244579518321755,-11.987251916568763,-5.849565987011766,-12.303798664775558,58,69
153,Ramyang,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.514701,91.6549664,-1.2066643519393474,-8.211524695805899,-0.9871644311802001,-7.963751577539456,58,58
154,Shakti,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.61139,91.71387,-12.449210509440558,-18.6321784062436,-12.642698620104897,-18.80463514048196,58,69
155,Shoktsen,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.7416556,91.7318533,-10.376516185603771,-16.334075580878388,-10.480765830108554,-16.445471972862403,58,69
156,Sirdi,Tawang,Zemithang-Dudunghar,Arunachal Pradesh,True,27.6466524,91.7230296,-6.697715821692597,-12.939886395036647,-8.101280731973395,-14.353560345139753,58,69
157,Bishing,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.1107736,95.0268102,-8.491224973189157,-15.231764144870926,-8.583939593388031,-15.404559107297482,30,35
158,Bona,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,29.0974164,94.9475348,-2.7411366292167894,-10.656020476874955,-2.8578183996840205,-10.714850309935327,29,32
159,Mankota,Upper Siang,Singa-Gelling,Arunachal Pradesh,True,28.8878329,95.0759463,-7.5478849055999895,-14.227738656122007,-7.558397432845586,-14.264434179953463,29,32
