District,Block,Habitation,LGD_Code,Households,Population,geocode_query_used,latitude,longitude,geocode_status,bhuvan_vid,bhuvan_population
Anjaw,Hayuliang,Zapaliang,266716,4,15.0,"Zapaliang, Hayuliang, Anjaw, Arunachal Pradesh, India",28.009235,96.4411122,matched,,
Anjaw,Walong,Bhaw,266945,15,77.0,"Bhaw, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Chenguinty,266965,7,16.0,"Chenguinty, Anjaw, Arunachal Pradesh, India",27.8858991,96.8520327,"matched (fallback query, no block)",,
Anjaw,Walong,Dhanbari,266878,6,25.0,"Dhanbari, Anjaw, Arunachal Pradesh, India",28.0078075,96.6214266,"matched (fallback query, no block)",,
Anjaw,Walong,Dong,266880,4,15.0,"Dong, Walong, Anjaw, Arunachal Pradesh, India",28.1679203,97.0389469,matched,,
Anjaw,Walong,Gong,266893,0,0.0,"Gong, Walong, Anjaw, Arunachal Pradesh, India",28.1700892,97.0008029,matched,,
Anjaw,Walong,Hot Spring,266879,1,4.0,"Hot Spring, Anjaw, Arunachal Pradesh, India",28.2928975,97.1638576,"matched (fallback query, no block)",,
Anjaw,Walong,Hunung,266946,0,0.0,"Hunung, Anjaw, Arunachal Pradesh, India",27.8741289,96.9451026,"matched (fallback query, no block)",,
Anjaw,Walong,Kaho,266868,10,65.0,"Kaho, Anjaw, Arunachal Pradesh, India",28.3034238,97.0250574,"matched (fallback query, no block)",,
Anjaw,Walong,Kheyong,266942,5,22.0,"Kheyong, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Khrawit,266892,3,22.0,"Khrawit, Walong, Anjaw, Arunachal Pradesh, India",27.9044705,96.9437389,matched,,
Anjaw,Walong,Kibithoo H.Q.,266876,129,723.0,"Kibithoo H.Q., Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Krowti,266873,6,27.0,"Krowti, Anjaw, Arunachal Pradesh, India",28.2354088,97.0273216,"matched (fallback query, no block)",,
Anjaw,Walong,Krowti Labour Camp,266874,13,29.0,"Krowti Labour Camp, Anjaw, Arunachal Pradesh, India",28.2318311,97.0285584,"matched (fallback query, no block)",,
Anjaw,Walong,Kundan,266871,4,24.0,"Kundan, Anjaw, Arunachal Pradesh, India",28.2425043,97.0254063,"matched (fallback query, no block)",,
Anjaw,Walong,Lamkung,266938,3,15.0,"Lamkung, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Misai labour Camp,266870,69,232.0,"Misai labour Camp, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Musai,266869,65,262.0,"Musai, Anjaw, Arunachal Pradesh, India",28.2588294,97.0287424,"matched (fallback query, no block)",,
Anjaw,Walong,Pranju,266940,1,6.0,"Pranju, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Samdul,266952,12,51.0,"Samdul, Anjaw, Arunachal Pradesh, India",27.8858936,96.9223997,"matched (fallback query, no block)",,
Anjaw,Walong,Sanglang,266943,17,82.0,"Sanglang, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Staging Hut Krosam,266962,0,0.0,"Staging Hut Krosam, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Supkung,266881,4,23.0,"Supkung, Walong, Anjaw, Arunachal Pradesh, India",28.1588813,97.0363709,matched,,
Anjaw,Walong,Walong,266883,21,79.0,"Walong, Walong, Anjaw, Arunachal Pradesh, India",28.1294938,97.0166444,matched,,
Anjaw,Walong,Walong BRTF Camp,266902,25,109.0,"Walong BRTF Camp, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Walong H.Q.,266901,101,392.0,"Walong H.Q., Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Walong,Yakung,266875,13,64.0,"Yakung, Anjaw, Arunachal Pradesh, India",28.1997526,97.0263468,"matched (fallback query, no block)",,
Dibang Valley,Anelih-Arzu,Adane,266010,4,6.0,"Adane, Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Anini-Mipi,Achali,265928,2,11.0,"Achali, Dibang Valley, Arunachal Pradesh, India",28.8429461,95.9704783,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Achengo,265937,2,5.0,"Achengo, Dibang Valley, Arunachal Pradesh, India",28.8238506,95.9428387,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Acheso,265936,10,31.0,"Acheso, Dibang Valley, Arunachal Pradesh, India",28.9263772,95.97448,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Ahungo,265913,7,49.0,"Ahungo, Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Anini-Mipi,Alinye,265926,48,201.0,"Alinye, Dibang Valley, Arunachal Pradesh, India",28.8346828,95.9628967,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Angrim Valley,265921,31,116.0,"Angrim Valley, Dibang Valley, Arunachal Pradesh, India",28.8842816,95.9786208,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Aropo,265932,21,95.0,"Aropo, Dibang Valley, Arunachal Pradesh, India",28.8230901,95.9397069,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Atoto,265922,4,13.0,"Atoto, Dibang Valley, Arunachal Pradesh, India",28.8355826,95.9647411,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Ebamee,265939,10,20.0,"Ebamee, Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Anini-Mipi,Echito,265940,7,22.0,"Echito, Dibang Valley, Arunachal Pradesh, India",28.9291593,95.9752771,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Ediya,265915,3,11.0,"Ediya, Dibang Valley, Arunachal Pradesh, India",28.9638191,95.8076515,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Emuli,265907,15,58.0,"Emuli, Dibang Valley, Arunachal Pradesh, India",28.8871158,95.8356573,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Gipulin,265923,27,131.0,"Gipulin, Dibang Valley, Arunachal Pradesh, India",28.8479222,95.9666253,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Kamuyi,265918,4,29.0,"Kamuyi, Dibang Valley, Arunachal Pradesh, India",28.9926912,95.8050502,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Mipi H.Q.,265920,8,19.0,"Mipi H.Q., Dibang Valley, Arunachal Pradesh, India",28.9641685,95.8081308,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,Mipido,265914,4,25.0,"Mipido, Dibang Valley, Arunachal Pradesh, India",28.950424,95.8144355,"matched (fallback query, no block)",,
Dibang Valley,Anini-Mipi,New Achuli,265927,4,13.0,"New Achuli, Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Etalin-Malinye,Etalin Bridge Point,265975,41,170.0,"Etalin Bridge Point, Dibang Valley, Arunachal Pradesh, India",28.6094048,95.8703668,"matched (fallback query, no block)",,
Dibang Valley,Etalin-Malinye,Etalin H.Q.,266002,64,247.0,"Etalin H.Q., Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Etalin-Malinye,Maliney,265996,27,127.0,"Maliney, Dibang Valley, Arunachal Pradesh, India",28.6750197,96.1532235,"matched (fallback query, no block)",,
Dibang Valley,Etalin-Malinye,Mawali,265991,1,2.0,"Mawali, Dibang Valley, Arunachal Pradesh, India",28.6599698,96.0170217,"matched (fallback query, no block)",,
Dibang Valley,Etalin-Malinye,New Echanli,266000,8,58.0,"New Echanli, Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Etalin-Malinye,New Emali(Old Etalin),266001,0,0.0,"New Emali(Old Etalin), Dibang Valley, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Dibang Valley,Etalin-Malinye,Punli,265983,4,32.0,"Punli, Dibang Valley, Arunachal Pradesh, India",28.6565904,95.8520788,"matched (fallback query, no block)",,
East Kameng,Bameng,Babey Camp,262126,6,30.0,"Babey Camp, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Bameng H.Q.,262132,204,934.0,"Bameng H.Q., East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Beyong,262098,60,242.0,"Beyong, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Lengdi/Liang,262116,18,89.0,"Lengdi/Liang, Bameng, East Kameng, Arunachal Pradesh, India",27.5376292,92.923885,matched,,
East Kameng,Bameng,Rasong,262129,15,70.0,"Rasong, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Taffo,262123,17,68.0,"Taffo, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Tayung,262131,24,99.0,"Tayung, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Bameng,Upper Liyak,262128,30,173.0,"Upper Liyak, Bameng, East Kameng, Arunachal Pradesh, India",27.5337804,92.8465101,matched,,
East Kameng,Bameng,Upper Liyak Doncha,262125,22,130.0,"Upper Liyak Doncha, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Chayangtajo H.Q.,262245,281,1329.0,"Chayangtajo H.Q., East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Dache Sullung,262244,6,32.0,"Dache Sullung, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Dao,262251,12,64.0,"Dao, East Kameng, Arunachal Pradesh, India",27.7832832,92.9383609,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Dara Yangfo,262258,12,66.0,"Dara Yangfo, East Kameng, Arunachal Pradesh, India",27.732817,93.0487159,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Lamrah,262256,13,100.0,"Lamrah, East Kameng, Arunachal Pradesh, India",27.6967225,93.0373888,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Loto Yangfo,262255,26,112.0,"Loto Yangfo, East Kameng, Arunachal Pradesh, India",27.7296573,93.059293,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Diya Sullung,262266,4,18.0,"Diya Sullung, East Kameng, Arunachal Pradesh, India",27.7760452,93.0124888,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Hara Yangfo,262221,15,103.0,"Hara Yangfo, Chayangtajo, East Kameng, Arunachal Pradesh, India",27.751648,93.1327809,matched,,
East Kameng,Chayangtajo,Jayang Bagang,262218,105,659.0,"Jayang Bagang, Chayangtajo, East Kameng, Arunachal Pradesh, India",27.7547367,93.1791026,matched,,
East Kameng,Chayangtajo,Kesse Bagang,262219,34,255.0,"Kesse Bagang, Chayangtajo, East Kameng, Arunachal Pradesh, India",27.7809294,93.2034502,matched,,
East Kameng,Chayangtajo,Langchu Sullung,262252,19,77.0,"Langchu Sullung, East Kameng, Arunachal Pradesh, India",27.7569534,92.9355132,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Langruk Tajo,262233,3,15.0,"Langruk Tajo, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Nampe Bagang,262273,22,170.0,"Nampe Bagang, East Kameng, Arunachal Pradesh, India",27.7140627,93.0313033,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Raro Sullung,262268,12,55.0,"Raro Sullung, East Kameng, Arunachal Pradesh, India",27.6890058,93.0717372,"matched (fallback query, no block)",,
East Kameng,Chayangtajo,Saria Takhang,262271,36,148.0,"Saria Takhang, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Sawa H.Q.,262272,6,34.0,"Sawa H.Q., East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Chayangtajo,Tamsang Yangfo,262227,13,88.0,"Tamsang Yangfo, Chayangtajo, East Kameng, Arunachal Pradesh, India",27.6760974,93.0917894,matched,,
East Kameng,Chayangtajo,Warriam Sullung,262270,7,39.0,"Warriam Sullung, East Kameng, Arunachal Pradesh, India",27.7279436,92.9802579,"matched (fallback query, no block)",,
East Kameng,Khenewa,Bisai,262069,21,145.0,"Bisai, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Sachung,262072,21,165.0,"Sachung, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Dongkha,262075,8,45.0,"Dongkha, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Welling Tawe,262074,3,22.0,"Welling Tawe, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Drakshi,262088,30,198.0,"Drakshi, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Kojo,262089,20,147.0,"Kojo, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Lada H.Q.,262082,48,251.0,"Lada H.Q., East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Rawa,262200,56,323.0,"Rawa, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Rojo,262090,15,110.0,"Rojo, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Wabalang,262084,9,82.0,"Wabalang, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Wagyung,262187,6,25.0,"Wagyung, East Kameng, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East Kameng,Khenewa,Wallong,262209,28,113.0,"Wallong, East Kameng, Arunachal Pradesh, India",27.6530641,92.9685879,"matched (fallback query, no block)",,
Kurung Kumey,Damin,Boruk,265781,12,61.0,"Boruk, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Damin,Chate,265796,12,84.0,"Chate, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1191826,93.3236259,matched,,
Kurung Kumey,Damin,Chulla,265826,18,106.0,"Chulla, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1242982,93.411274,matched,,
Kurung Kumey,Damin,Damin H.Q.,265777,99,660.0,"Damin H.Q., Damin, Kurung Kumey, Arunachal Pradesh, India",28.1041982,93.3343841,matched,,
Kurung Kumey,Damin,Damin Village,265780,11,50.0,"Damin Village, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1050092,93.3443566,matched,,
Kurung Kumey,Damin,Digok,265811,7,29.0,"Digok, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1272533,93.3496878,matched,,
Kurung Kumey,Damin,Fuba,265808,58,304.0,"Fuba, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1198537,93.3376816,matched,,
Kurung Kumey,Damin,Hume,265828,10,66.0,"Hume, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Damin,Huri,265794,8,49.0,"Huri, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1095105,93.3045975,matched,,
Kurung Kumey,Damin,Katuk,265805,8,46.0,"Katuk, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1189094,93.2501395,matched,,
Kurung Kumey,Damin,Kopila,265793,17,118.0,"Kopila, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1092251,93.3088818,matched,,
Kurung Kumey,Damin,Machang,265792,22,137.0,"Machang, Damin, Kurung Kumey, Arunachal Pradesh, India",28.0962492,93.3005705,matched,,
Kurung Kumey,Damin,Nisuk,265820,6,35.0,"Nisuk, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1081822,93.414929,matched,,
Kurung Kumey,Damin,Pipa,265801,10,40.0,"Pipa, Damin, Kurung Kumey, Arunachal Pradesh, India",28.0735847,93.283149,matched,,
Kurung Kumey,Damin,Ramu,265818,24,130.0,"Ramu, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1084035,93.4191096,matched,,
Kurung Kumey,Damin,Rane,265802,4,30.0,"Rane, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1440384,93.3476122,matched,,
Kurung Kumey,Damin,Rawiok,265806,12,47.0,"Rawiok, Damin, Kurung Kumey, Arunachal Pradesh, India",28.137739,93.3249207,matched,,
Kurung Kumey,Damin,Ruba,265807,45,204.0,"Ruba, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1221707,93.2334312,matched,,
Kurung Kumey,Damin,Senamriang,265800,13,60.0,"Senamriang, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1320477,93.3191302,matched,,
Kurung Kumey,Damin,Sibia,265795,10,61.0,"Sibia, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1070207,93.3012679,matched,,
Kurung Kumey,Damin,Tarba,265798,16,74.0,"Tarba, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1607522,93.4195471,matched,,
Kurung Kumey,Damin,Tokriang,265778,20,150.0,"Tokriang, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1110736,93.3311986,matched,,
Kurung Kumey,Damin,Yaso,265784,8,43.0,"Yaso, Damin, Kurung Kumey, Arunachal Pradesh, India",28.1002726,93.3473375,matched,,
Kurung Kumey,Koloriang,Buhan,265467,3,12.0,"Buhan, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.8895447,93.283152,matched,,
Kurung Kumey,Koloriang,Buyang,265476,0,0.0,"Buyang, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9419935,93.286116,matched,,
Kurung Kumey,Koloriang,Buyang-II,265477,27,149.0,"Buyang-II, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9419935,93.286116,matched,,
Kurung Kumey,Koloriang,Chello,265464,14,93.0,"Chello, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.8849215,93.291646,matched,,
Kurung Kumey,Koloriang,Chimpu,265478,4,19.0,"Chimpu, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9522411,93.2566277,matched,,
Kurung Kumey,Koloriang,Chomi,265486,11,57.0,"Chomi, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.955673,93.2595487,matched,,
Kurung Kumey,Koloriang,Chote,265485,3,13.0,"Chote, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9524396,93.2616596,matched,,
Kurung Kumey,Koloriang,Degging I,265482,11,48.0,"Degging I, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Koloriang,Kachanjane,265452,5,28.0,"Kachanjane, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Koloriang,Kiodhriang,265473,7,27.0,"Kiodhriang, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.8581693,93.2541827,matched,,
Kurung Kumey,Koloriang,Naji Bibok,265472,14,86.0,"Naji Bibok, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Koloriang,Nangram,265438,83,350.0,"Nangram, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9071735,93.4387839,matched,,
Kurung Kumey,Koloriang,Nyolo,265469,21,75.0,"Nyolo, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9012651,93.3076219,matched,,
Kurung Kumey,Koloriang,Pakba,265433,28,175.0,"Pakba, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.8903622,93.3997806,matched,,
Kurung Kumey,Koloriang,Papu,265453,16,87.0,"Papu, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9111524,93.3917445,matched,,
Kurung Kumey,Koloriang,Rengchi,265431,12,69.0,"Rengchi, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.8914093,93.4267781,matched,,
Kurung Kumey,Koloriang,Sollung Tapin,265463,3,22.0,"Sollung Tapin, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Koloriang,Tate,265488,15,99.0,"Tate, Koloriang, Kurung Kumey, Arunachal Pradesh, India",27.9539309,93.2699171,matched,,
Kurung Kumey,Koloriang,Yumlam,265426,35,241.0,"Yumlam, Kurung Kumey, Arunachal Pradesh, India",27.8897958,93.4560068,"matched (fallback query, no block)",,
Kurung Kumey,Parsi-Parlo,Cheba,265748,16,109.0,"Cheba, Parsi-Parlo, Kurung Kumey, Arunachal Pradesh, India",28.0204954,93.4801015,matched,,
Kurung Kumey,Parsi-Parlo,Dalang,265761,25,136.0,"Dalang, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Parsi-Parlo,Dape,265773,18,112.0,"Dape, Parsi-Parlo, Kurung Kumey, Arunachal Pradesh, India",28.0305059,93.4762607,matched,,
Kurung Kumey,Parsi-Parlo,Dare,265768,8,42.0,"Dare, Parsi-Parlo, Kurung Kumey, Arunachal Pradesh, India",28.040746,93.4566336,matched,,
Kurung Kumey,Parsi-Parlo,Geyang,265774,31,167.0,"Geyang, Parsi-Parlo, Kurung Kumey, Arunachal Pradesh, India",28.032302,93.4718342,matched,,
Kurung Kumey,Parsi-Parlo,Gonang,265716,48,365.0,"Gonang, Parsi-Parlo, Kurung Kumey, Arunachal Pradesh, India",27.9884834,93.5169908,matched,,
Kurung Kumey,Parsi-Parlo,Hissang,265745,12,48.0,"Hissang, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Kurung Kumey,Parsi-Parlo,Leneriang,265746,12,55.0,"Leneriang, Kurung Kumey, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
