District,Block,Habitation,Block_Confidence
Pithoragarh,Dharchula or Kanalichhina (unresolved),Amali,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Beda (Bedara),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Uttarkashi,Bhatwari,Bagori,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Dharali,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Harshil,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Jadung,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Jaspur,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Jhala,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Mukhawa,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Nelang,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Purali,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
Uttarkashi,Bhatwari,Sukki,Confirmed (Bhatwari block = 10 villages = full Uttarkashi count)
